player_id,progressive_passes,total_passes,progressive_pass_pct,final_third_entries,defensive_actions,defensive_actions_per90,total_onball_events,inaccurate_events,dangerous_losses,inaccurate_rate,dangerous_loss_rate
25558,450,1569,0.2868068833652007,91,269.0,7.428659097882787,2477,389,4,0.1570448122729107,0.0016148566814695
25898,52,443,0.1173814898419864,19,65.0,3.796236210253082,1297,392,2,0.3022359290670778,0.0015420200462606
21234,62,514,0.1206225680933852,31,66.0,2.216417910447761,1743,581,0,0.3333333333333333,0.0
20422,44,318,0.1383647798742138,23,38.0,2.02846975088968,1024,371,1,0.3623046875,0.0009765625
20540,419,636,0.6588050314465409,31,50.0,1.5625,1331,200,0,0.1502629601803155,0.0
333913,39,383,0.1018276762402088,23,67.0,2.817757009345794,1165,418,1,0.3587982832618026,0.0008583690987124
354547,201,1059,0.1898016997167138,100,104.0,3.528081417263475,1873,542,3,0.2893753336892685,0.0016017084890549
21279,344,1002,0.343313373253493,78,148.0,7.478944413250983,1464,248,2,0.1693989071038251,0.0013661202185792
213948,213,958,0.2223382045929018,111,88.0,3.40938441670254,2027,559,1,0.2757770103601381,0.0004933399111988
101742,185,774,0.2390180878552971,77,132.0,6.336,1703,410,3,0.2407516147974163,0.0017615971814445
21314,74,434,0.1705069124423963,46,83.0,9.828947368421051,720,146,2,0.2027777777777777,0.0027777777777777
339791,57,401,0.14214463840399,28,65.0,5.635838150289017,991,267,1,0.2694248234106963,0.0010090817356205
50073,133,875,0.152,82,149.0,5.022471910112359,1795,478,1,0.2662952646239554,0.0005571030640668
208696,148,955,0.1549738219895288,61,78.0,2.4805653710247357,2194,667,1,0.3040109389243391,0.0004557885141294
22163,262,1104,0.2373188405797101,151,221.0,6.802325581395349,2134,566,1,0.2652296157450796,0.000468603561387
40538,129,498,0.2590361445783132,52,87.0,6.862401402278703,808,172,0,0.2128712871287128,0.0
403449,119,365,0.3260273972602739,39,73.0,7.227722772277228,738,189,3,0.2560975609756097,0.0040650406504065
3313,146,1476,0.0989159891598916,78,122.0,3.381582999692024,2398,591,2,0.2464553794829024,0.0008340283569641
122,133,973,0.1366906474820144,66,68.0,2.027833001988072,1863,544,0,0.2920021470746108,0.0
21350,229,1166,0.1963979416809605,106,198.0,6.811926605504588,2013,513,2,0.2548435171385991,0.0009935419771485
21001,398,2273,0.1750989881214254,176,227.0,6.520906479412703,3496,551,4,0.1576086956521739,0.0011441647597254
228928,146,961,0.1519250780437044,50,128.0,4.515876127009016,1851,398,3,0.215018908698001,0.0016207455429497
20820,203,1038,0.1955684007707129,87,59.0,2.652347652347653,2099,497,3,0.2367794187708432,0.0014292520247737
69513,40,298,0.1342281879194631,16,70.0,3.967254408060453,1178,388,0,0.3293718166383701,0.0
272878,73,488,0.1495901639344262,38,80.0,4.382227632379793,1257,420,3,0.3341288782816229,0.0023866348448687
190167,155,832,0.1862980769230769,54,103.0,6.159468438538206,1502,348,2,0.2316910785619174,0.0013315579227696
11156,97,699,0.1387696709585121,47,96.0,3.811204234671372,1539,474,4,0.3079922027290448,0.0025990903183885
49991,562,2056,0.2733463035019455,281,217.0,6.454064771976206,3133,561,7,0.1790616022981168,0.0022342802425789
49857,131,366,0.3579234972677595,32,147.0,10.433753943217663,773,208,1,0.2690815006468305,0.001293661060802
250956,72,400,0.18,28,56.0,4.428822495606327,964,299,0,0.3101659751037344,0.0
